% X-coord, Y-coord, Polarization, wavelength, type, deviceID, params 
275, 139, TM, 1550, TMAlign, FarmRight
435, 266, TM, 1550, TMAlign, FarmLeft
355, 139, TM, 1550, TMAlign, FarmMiddle
8595, 139, TM, 1550, TMAlign, FarmRight_1
8755, 266, TM, 1550, TMAlign, FarmLeft_1
8675, 139, TM, 1550, TMAlign, FarmMiddle_1
275, 8639, TM, 1550, TMAlign, FarmRight_2
435, 8766, TM, 1550, TMAlign, FarmLeft_2
355, 8639, TM, 1550, TMAlign, FarmMiddle_2
8595, 8639, TM, 1550, TMAlign, FarmRight_3
8755, 8766, TM, 1550, TMAlign, FarmLeft_3
8675, 8639, TM, 1550, TMAlign, FarmMiddle_3
2573, 351, TM, 1550, PCM, PCM_StraightWGloss80409TM
2507, 394, TE, 1550, PCM, PCM_StraightWGloss0TE
1919, 394, TE, 1550, PCM, PCM_StraightWGloss34909TE
3209, 144, TM, 1550, PCM, PCM_StraightWGloss34909TM
1919, 187, TE, 1550, PCM, PCM_StraightWGloss80409TE
3797, 144, TM, 1550, PCM, PCM_StraightWGloss0TM
7766, 199, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW90nmdW0Apo
7766, 262, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW80nmdW0Apo
7696, 262, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW100nmdW0Apo
7836, 199, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW70nmdW0Apo
7906, 199, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW50nmdW0Apo
7626, 199, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW130nmdW0Apo
7976, 199, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW30nmdW0Apo
7976, 262, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW20nmdW0Apo
7696, 199, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW110nmdW0Apo
7836, 262, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW60nmdW0Apo
7626, 262, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW120nmdW0Apo
8046, 262, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW0nmdW0Apo
7906, 262, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW40nmdW0Apo
8046, 199, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW10nmdW0Apo
7556, 199, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW150nmdW0Apo
7556, 262, TE, 1550, PCM, PCM_BraggSweepDW500N318nmPeriod500nmW140nmdW0Apo
6244, 146, TE, 1550, PCM, PCMcontraDCcascaded1
6297, 179, TE, 1550, PCM, PCMcontraDCcascaded3
6790, 147, TE, 1550, PCM, PCMcontraDCcascaded7
6352, 247, TE, 1550, PCM, PCMcontraDCcascaded5
6840, 268, TE, 1550, PCM, PCMcontraDCcascaded15
6620, 392, TM, 1550, PCM, PCMmziTM1
6512, 342, TE, 1550, PCM, PCMmziTE2
6407, 392, TE, 1550, PCM, PCMmziTE1
8403, 432, TE, 1550, PCM, PCM_jackzhfPCDID32SET3R107p66
3856, 196, TE, 1550, PCM, PCM_SWGloss0TE
3856, 396, TE, 1550, PCM, PCM_SWGloss23400TE
4250, 178, TE, 1550, PCM, PCM_SWGloss13000TE
5547, 179, TE, 1550, PCM, PCM_SWGAssistloss7800TE
5153, 398, TE, 1550, PCM, PCM_SWGAssistloss17940TE
5153, 198, TE, 1550, PCM, PCM_SWGAssistloss0TE
506, 395, TE, 1550, PCM, PCM_SpiralWG0TE
776, 396, TE, 1550, PCM, PCM_SpiralWG47363TE
506, 141, TE, 1550, PCM, PCM_SpiralWG15497TE
566, 394, TE, 1550, PCM, PCM_SpiralWG5344TE
1213, 395, TM, 1550, PCM, PCM_SpiralWG0TM
1483, 396, TM, 1550, PCM, PCM_SpiralWG47363TM
1213, 141, TM, 1550, PCM, PCM_SpiralWG15497TM
1273, 394, TM, 1550, PCM, PCM_SpiralWG5344TM
7426, 143, TM, 1550, PCM, PCM_ringTM
7485, 143, TM, 1550, PCM, PCM_ringTM_1
8702, 657, TE, 1310, PCM, PCM_Bragg_O_800N274nmPeriod350nmW15nmdW0Apo
8368, 720, TE, 1310, PCM, PCM_Bragg_O_800N283nmPeriod350nmW15nmdW0Apo
8568, 720, TE, 1310, PCM, PCM_Bragg_O_800N277nmPeriod350nmW15nmdW0Apo
8434, 657, TE, 1310, PCM, PCM_Bragg_O_800N282nmPeriod350nmW15nmdW0Apo
8702, 720, TE, 1310, PCM, PCM_Bragg_O_800N273nmPeriod350nmW15nmdW0Apo
8501, 657, TE, 1310, PCM, PCM_Bragg_O_800N279nmPeriod350nmW15nmdW0Apo
8568, 657, TE, 1310, PCM, PCM_Bragg_O_800N278nmPeriod350nmW15nmdW0Apo
